<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,W,28/11/11,00:00:00,35.0000000,107.0160000,35.0000000,45.8640000,2006200
ALRS,W,05/12/11,00:00:00,37.5500000,41.9850000,34.2000000,34.3900000,3658700
ALRS,W,12/12/11,00:00:00,34.3040000,34.7970000,30.5010000,32.1980000,1487000
ALRS,W,19/12/11,00:00:00,31.6660000,31.9980000,30.3000000,30.3010000,777600
ALRS,W,26/12/11,00:00:00,30.0130000,31.0000000,29.4000000,31.0000000,1772400
ALRS,W,02/01/12,00:00:00,31.0000000,31.3840000,29.4000000,30.0930000,543500
ALRS,W,09/01/12,00:00:00,30.0480000,30.7500000,29.7020000,30.4000000,572000
ALRS,W,16/01/12,00:00:00,30.4790000,30.5000000,29.5610000,30.2000000,2797100
ALRS,W,23/01/12,00:00:00,30.2500000,30.3750000,29.8110000,29.9200000,1290500
ALRS,W,30/01/12,00:00:00,29.8300000,32.7900000,29.3300000,31.8500000,5459300
ALRS,W,06/02/12,00:00:00,31.6090000,33.8790000,31.3500000,32.2000000,11103700
ALRS,W,13/02/12,00:00:00,32.3200000,33.9500000,32.3000000,33.2510000,3499200
ALRS,W,20/02/12,00:00:00,33.3050000,33.6000000,32.3010000,32.9000000,1248200
ALRS,W,27/02/12,00:00:00,32.6240000,33.3330000,31.1100000,32.5000000,4364400
ALRS,W,05/03/12,00:00:00,32.3500000,32.5500000,31.2000000,31.7150000,1282400
ALRS,W,12/03/12,00:00:00,31.6300000,32.5550000,31.3970000,32.0000000,4918700
ALRS,W,19/03/12,00:00:00,32.0970000,32.3000000,31.5020000,31.8500000,3710600
ALRS,W,26/03/12,00:00:00,32.0990000,32.0990000,30.5100000,31.0950000,1199600
ALRS,W,02/04/12,00:00:00,31.2480000,31.2480000,29.4000000,29.9000000,1848500
ALRS,W,09/04/12,00:00:00,29.9000000,30.1000000,29.5010000,30.0390000,2339900
ALRS,W,16/04/12,00:00:00,30.0390000,30.0390000,29.5820000,29.9000000,2516400
ALRS,W,23/04/12,00:00:00,29.9000000,30.0000000,29.6600000,29.9980000,2354000
ALRS,W,30/04/12,00:00:00,29.9030000,30.0000000,27.0000000,27.6970000,1434500
ALRS,W,07/05/12,00:00:00,27.8980000,28.2500000,26.0100000,26.7000000,532000
ALRS,W,14/05/12,00:00:00,26.4990000,26.4990000,21.9990000,22.9900000,1764600
ALRS,W,21/05/12,00:00:00,23.0000000,23.6850000,22.0380000,22.4000000,1167400
ALRS,W,28/05/12,00:00:00,22.4550000,23.4490000,22.4000000,22.9950000,2118800
ALRS,W,04/06/12,00:00:00,22.9300000,25.7470000,22.8280000,25.0990000,3048400
ALRS,W,11/06/12,00:00:00,25.0000000,26.1480000,23.5000000,25.9730000,3326100
ALRS,W,18/06/12,00:00:00,25.5000000,26.9000000,24.5500000,24.7000000,5642900
ALRS,W,25/06/12,00:00:00,24.8940000,26.0000000,24.0110000,24.3000000,3075200
ALRS,W,02/07/12,00:00:00,24.3990000,25.8870000,24.0000000,24.7250000,4637900
ALRS,W,09/07/12,00:00:00,24.7120000,24.9900000,24.3520000,24.8000000,983800
ALRS,W,16/07/12,00:00:00,24.8010000,25.2500000,24.5050000,24.6000000,1686500
ALRS,W,23/07/12,00:00:00,24.8500000,25.6000000,24.4020000,25.4000000,2614200
ALRS,W,30/07/12,00:00:00,25.3010000,26.1700000,25.0000000,25.2500000,3117000
ALRS,W,06/08/12,00:00:00,25.0090000,25.3980000,24.6990000,24.9000000,206900
ALRS,W,13/08/12,00:00:00,24.9000000,25.1960000,24.7500000,24.9390000,548900
ALRS,W,20/08/12,00:00:00,24.8150000,24.9000000,24.6050000,24.6070000,272600
ALRS,W,27/08/12,00:00:00,24.6500000,24.8250000,24.3010000,24.4700000,425400
ALRS,W,03/09/12,00:00:00,24.4010000,24.9890000,24.4010000,24.8530000,342800
ALRS,W,10/09/12,00:00:00,24.7980000,25.1010000,24.4520000,24.6750000,1455600
ALRS,W,17/09/12,00:00:00,24.7000000,24.8500000,24.1200000,24.3630000,1804300
ALRS,W,24/09/12,00:00:00,24.4390000,24.5000000,23.9500000,24.1460000,646700
ALRS,W,01/10/12,00:00:00,24.0060000,24.5000000,24.0060000,24.3000000,1880600
ALRS,W,08/10/12,00:00:00,24.2750000,25.0010000,24.2060000,24.5490000,2219800
ALRS,W,15/10/12,00:00:00,24.4000000,24.4000000,21.9990000,22.7720000,7703100
ALRS,W,22/10/12,00:00:00,22.5560000,23.0000000,21.8200000,22.7710000,2789000
ALRS,W,29/10/12,00:00:00,22.7510000,23.5000000,22.6500000,23.2990000,4054300
ALRS,W,05/11/12,00:00:00,23.2980000,23.4980000,22.8300000,23.0500000,4014700
ALRS,W,12/11/12,00:00:00,23.1880000,23.1880000,22.7020000,23.0950000,3189500
ALRS,W,19/11/12,00:00:00,22.9050000,23.1500000,22.8000000,23.1500000,3223700
ALRS,W,26/11/12,00:00:00,23.1480000,23.2000000,22.6500000,23.1000000,2309000
ALRS,W,03/12/12,00:00:00,23.0900000,26.1400000,23.0550000,25.1660000,24698900
ALRS,W,10/12/12,00:00:00,25.2490000,26.2450000,25.2000000,25.9670000,6429900
ALRS,W,17/12/12,00:00:00,26.2450000,28.4490000,25.6340000,28.0000000,8858700
ALRS,W,24/12/12,00:00:00,27.5200000,30.4500000,27.5200000,30.0000000,7569900
ALRS,W,07/01/13,00:00:00,31.3000000,31.4000000,29.0300000,29.5500000,5525700
ALRS,W,14/01/13,00:00:00,29.3560000,30.0000000,29.1020000,29.7000000,1064000
ALRS,W,21/01/13,00:00:00,29.5990000,29.7480000,28.5010000,29.4790000,1719400
ALRS,W,28/01/13,00:00:00,29.4000000,30.8900000,28.7990000,29.7700000,2246800
ALRS,W,04/02/13,00:00:00,29.7620000,30.5500000,29.7230000,30.5000000,3485300
ALRS,W,11/02/13,00:00:00,30.7000000,32.0880000,30.1930000,31.5200000,3914600
ALRS,W,18/02/13,00:00:00,31.8870000,35.3500000,31.4320000,35.0000000,6640300
ALRS,W,25/02/13,00:00:00,35.1660000,35.4450000,32.0000000,32.8500000,4108200
ALRS,W,04/03/13,00:00:00,33.0000000,33.3000000,32.5000000,33.0000000,2470600
ALRS,W,11/03/13,00:00:00,32.9980000,33.6150000,30.8200000,32.8000000,9977800
ALRS,W,18/03/13,00:00:00,32.8000000,32.8000000,31.0100000,31.8500000,1715100
ALRS,W,25/03/13,00:00:00,32.1140000,32.9000000,30.1110000,31.6660000,2559700
ALRS,W,01/04/13,00:00:00,31.4100000,32.9400000,30.7620000,32.9000000,4095300
ALRS,W,08/04/13,00:00:00,32.8880000,33.1710000,31.8010000,32.2100000,1473700
ALRS,W,15/04/13,00:00:00,32.2000000,32.7900000,30.5100000,31.6000000,4112200
ALRS,W,22/04/13,00:00:00,31.4120000,33.5000000,31.3500000,32.9980000,2253400
ALRS,W,29/04/13,00:00:00,32.5790000,33.1020000,30.5090000,31.4470000,867000
ALRS,W,06/05/13,00:00:00,31.6010000,32.3000000,31.3010000,31.5500000,619800
ALRS,W,13/05/13,00:00:00,31.1890000,31.9970000,30.8110000,31.9960000,45285800
ALRS,W,20/05/13,00:00:00,31.6010000,33.1110000,31.5000000,31.6000000,28222800
ALRS,W,27/05/13,00:00:00,31.8960000,32.6150000,31.6210000,32.1500000,10804700
ALRS,W,03/06/13,00:00:00,32.4000000,34.9500000,31.8500000,33.8500000,6702400
ALRS,W,10/06/13,00:00:00,33.9990000,34.4500000,32.6900000,33.3490000,11736300
ALRS,W,17/06/13,00:00:00,33.3550000,34.4490000,32.7000000,33.0550000,2660100
ALRS,W,24/06/13,00:00:00,33.3540000,34.6800000,32.8250000,34.0000000,4678500
ALRS,W,01/07/13,00:00:00,34.4950000,34.7650000,24.0000000,34.0090000,1997600
ALRS,W,08/07/13,00:00:00,34.0000000,34.2470000,33.5010000,33.7970000,2674500
ALRS,W,15/07/13,00:00:00,33.8720000,33.9500000,33.0000000,33.2410000,632400
ALRS,W,22/07/13,00:00:00,33.0090000,33.3000000,32.8500000,33.1670000,2410700
